year,local_day,local_hour_end,tot_wind_mwh,_FREQ_
2019,13-Jan-19,1,244.026,49
2019,13-Jan-19,2,247.429,46
2019,13-Jan-19,3,240.854,44
2019,13-Jan-19,4,200.699,46
2019,13-Jan-19,5,188.442,45
2019,13-Jan-19,6,166.706,43
2019,13-Jan-19,7,160.986,44
2019,13-Jan-19,8,172.637,45
2019,13-Jan-19,9,154.482,43
2019,13-Jan-19,10,110.928,38
2019,13-Jan-19,11,64.847,38
2019,13-Jan-19,12,50.54,39
2019,13-Jan-19,13,46.553,39
2019,13-Jan-19,14,42.992,38
2019,13-Jan-19,15,38.299,36
2019,13-Jan-19,16,49.96,34
2019,13-Jan-19,17,53.516,36
2019,13-Jan-19,18,71.137,36
2019,13-Jan-19,19,88.062,38
2019,13-Jan-19,20,119.585,38
2019,13-Jan-19,21,131.869,38
2019,13-Jan-19,22,103.267,37
2019,13-Jan-19,23,96.658,40
2019,13-Jan-19,24,92.3,40
2019,14-Jan-19,1,84.523,34
2019,14-Jan-19,2,83.539,35
2019,14-Jan-19,3,67.032,34
2019,14-Jan-19,4,60.393,33
2019,14-Jan-19,5,56.201,37
2019,14-Jan-19,6,65.241,37
2019,14-Jan-19,7,85.654,38
2019,14-Jan-19,8,101.532,41
2019,14-Jan-19,9,86.308,40
2019,14-Jan-19,10,70.211,33
2019,14-Jan-19,11,57.999,30
2019,14-Jan-19,12,53.38,29
2019,14-Jan-19,13,54.655,31
2019,14-Jan-19,14,64.628,32
2019,14-Jan-19,15,90.165,31
2019,14-Jan-19,16,103.736,32
2019,14-Jan-19,17,147.422,34
2019,14-Jan-19,18,200.289,39
2019,14-Jan-19,19,221.706,39
2019,14-Jan-19,20,255.656,39
2019,14-Jan-19,21,330.018,39
2019,14-Jan-19,22,352.653,42
2019,14-Jan-19,23,385.497,45
2019,14-Jan-19,24,455.898,45
2019,15-Jan-19,1,488.18,49
2019,15-Jan-19,2,527.932,48
2019,15-Jan-19,3,542.079,48
2019,15-Jan-19,4,525.546,48
2019,15-Jan-19,5,531.749,48
2019,15-Jan-19,6,497.234,48
2019,15-Jan-19,7,440.69,49
2019,15-Jan-19,8,409.841,50
2019,15-Jan-19,9,327.535,49
2019,15-Jan-19,10,275.174,47
2019,15-Jan-19,11,247.069,47
2019,15-Jan-19,12,212.922,44
2019,15-Jan-19,13,195.86,41
2019,15-Jan-19,14,127.712,39
2019,15-Jan-19,15,93.761,35
2019,15-Jan-19,16,56.872,30
2019,15-Jan-19,17,53.067,31
2019,15-Jan-19,18,63.407,32
2019,15-Jan-19,19,62.043,32
2019,15-Jan-19,20,44.162,34
2019,15-Jan-19,21,29.361,30
2019,15-Jan-19,22,15.384,22
2019,15-Jan-19,23,20.725,24
2019,15-Jan-19,24,32.461,23
2019,16-Jan-19,1,52.76,27
2019,16-Jan-19,2,82.084,31
2019,16-Jan-19,3,117.661,38
2019,16-Jan-19,4,183.923,45
2019,16-Jan-19,5,248.766,49
2019,16-Jan-19,6,283.701,50
2019,16-Jan-19,7,346.829,50
2019,16-Jan-19,8,524.733,51
2019,16-Jan-19,9,567.129,51
2019,16-Jan-19,10,495.736,53
2019,16-Jan-19,11,480.418,52
2019,16-Jan-19,12,438.792,52
2019,16-Jan-19,13,495.299,53
2019,16-Jan-19,14,472.33,54
2019,16-Jan-19,15,466.971,55
2019,16-Jan-19,16,542.45,55
2019,16-Jan-19,17,611.372,53
2019,16-Jan-19,18,670.494,54
2019,16-Jan-19,19,801.864,54
2019,16-Jan-19,20,827.81,54
2019,16-Jan-19,21,827.596,55
2019,16-Jan-19,22,828.788,54
2019,16-Jan-19,23,815.355,55
2019,16-Jan-19,24,807.652,54
2019,17-Jan-19,1,761.799,53
2019,17-Jan-19,2,698.574,52
2019,17-Jan-19,3,656.953,52
2019,17-Jan-19,4,603.267,52
2019,17-Jan-19,5,530.301,51
2019,17-Jan-19,6,572.601,49
2019,17-Jan-19,7,533.546,51
2019,17-Jan-19,8,576.385,50
2019,17-Jan-19,9,528.341,49
2019,17-Jan-19,10,496.068,46
2019,17-Jan-19,11,439.273,47
2019,17-Jan-19,12,375.032,44
2019,17-Jan-19,13,294.65,40
2019,17-Jan-19,14,213.528,31
2019,17-Jan-19,15,133.89,31
2019,17-Jan-19,16,73.374,22
2019,17-Jan-19,17,56.627,25
2019,17-Jan-19,18,67.114,27
2019,17-Jan-19,19,57.658,35
2019,17-Jan-19,20,54.176,34
2019,17-Jan-19,21,90.344,39
2019,17-Jan-19,22,139.41,39
2019,17-Jan-19,23,169.594,40
2019,17-Jan-19,24,235.573,46
2019,18-Jan-19,1,277.961,42
2019,18-Jan-19,2,323.857,41
2019,18-Jan-19,3,384.923,40
2019,18-Jan-19,4,418.943,39
2019,18-Jan-19,5,440.595,40
2019,18-Jan-19,6,420.679,41
2019,18-Jan-19,7,416.539,39
2019,18-Jan-19,8,528.834,41
2019,18-Jan-19,9,555.214,43
2019,18-Jan-19,10,524.904,45
2019,18-Jan-19,11,473.753,45
2019,18-Jan-19,12,427.449,45
2019,18-Jan-19,13,414.997,45
2019,18-Jan-19,14,401.618,46
2019,18-Jan-19,15,384.006,41
2019,18-Jan-19,16,437.077,45
2019,18-Jan-19,17,486.179,48
2019,18-Jan-19,18,516.347,49
2019,18-Jan-19,19,548.018,46
2019,18-Jan-19,20,628.4,48
2019,18-Jan-19,21,750.78,54
2019,18-Jan-19,22,760.828,55
2019,18-Jan-19,23,806.145,56
2019,18-Jan-19,24,810.317,54
2019,19-Jan-19,1,682.574,53
2019,19-Jan-19,2,617.046,52
2019,19-Jan-19,3,572.757,49
2019,19-Jan-19,4,535.74,51
2019,19-Jan-19,5,477.539,52
2019,19-Jan-19,6,466.937,51
2019,19-Jan-19,7,513.108,52
2019,19-Jan-19,8,477.001,52
2019,19-Jan-19,9,472.325,50
2019,19-Jan-19,10,389.213,52
2019,19-Jan-19,11,217.693,52
2019,19-Jan-19,12,145.664,47
2019,19-Jan-19,13,89.461,42
2019,19-Jan-19,14,59.612,41
2019,19-Jan-19,15,44.502,41
2019,19-Jan-19,16,42.041,45
2019,19-Jan-19,17,42.519,46
2019,19-Jan-19,18,77.147,53
2019,19-Jan-19,19,123.465,57
2019,19-Jan-19,20,173.387,58
2019,19-Jan-19,21,231.653,58
2019,19-Jan-19,22,292.07,58
2019,19-Jan-19,23,290.915,58
2019,19-Jan-19,24,333.061,56
2019,20-Jan-19,1,363.968,56
2019,20-Jan-19,2,406.344,56
2019,20-Jan-19,3,489.291,56
2019,20-Jan-19,4,581.811,56
2019,20-Jan-19,5,629.206,54
2019,20-Jan-19,6,745.862,53
2019,20-Jan-19,7,779.558,53
2019,20-Jan-19,8,853.312,53
2019,20-Jan-19,9,916.639,54
2019,20-Jan-19,10,883.229,53
2019,20-Jan-19,11,858.033,53
2019,20-Jan-19,12,855.578,52
2019,20-Jan-19,13,823.71,50
2019,20-Jan-19,14,727.798,54
2019,20-Jan-19,15,634.75,55
2019,20-Jan-19,16,557.768,53
2019,20-Jan-19,17,635.317,54
2019,20-Jan-19,18,652.807,56
2019,20-Jan-19,19,733.737,52
2019,20-Jan-19,20,794.8,45
2019,20-Jan-19,21,809.911,45
2019,20-Jan-19,22,825.386,45
2019,20-Jan-19,23,824.812,45
2019,20-Jan-19,24,820.68,44
2019,21-Jan-19,1,704.224,45
2019,21-Jan-19,2,838.613,43
2019,21-Jan-19,3,815.768,42
2019,21-Jan-19,4,815.457,41
2019,21-Jan-19,5,793.526,38
2019,21-Jan-19,6,783.215,37
2019,21-Jan-19,7,788.109,39
2019,21-Jan-19,8,775.485,39
2019,21-Jan-19,9,773.425,41
2019,21-Jan-19,10,788.792,39
2019,21-Jan-19,11,790.592,39
2019,21-Jan-19,12,808.526,43
2019,21-Jan-19,13,808.281,42
2019,21-Jan-19,14,802.873,44
2019,21-Jan-19,15,819.644,45
2019,21-Jan-19,16,849.968,45
2019,21-Jan-19,17,847.1,44
2019,21-Jan-19,18,836.335,42
2019,21-Jan-19,19,856.529,43
2019,21-Jan-19,20,881.879,43
2019,21-Jan-19,21,844.713,43
2019,21-Jan-19,22,838.542,42
2019,21-Jan-19,23,813.791,42
2019,21-Jan-19,24,814.967,41
2019,22-Jan-19,1,829.417,43
2019,22-Jan-19,2,798.241,43
2019,22-Jan-19,3,785.61,42
2019,22-Jan-19,4,799.299,43
2019,22-Jan-19,5,799.632,42
2019,22-Jan-19,6,802.928,42
2019,22-Jan-19,7,792.444,43
2019,22-Jan-19,8,790.277,42
2019,22-Jan-19,9,787.61,40
2019,22-Jan-19,10,790.309,43
2019,22-Jan-19,11,766.59,44
2019,22-Jan-19,12,751.37,41
2019,22-Jan-19,13,771.027,41
2019,22-Jan-19,14,770.305,40
2019,22-Jan-19,15,750.613,39
2019,22-Jan-19,16,709.87,41
2019,22-Jan-19,17,701.51,42
2019,22-Jan-19,18,674.552,39
2019,22-Jan-19,19,603.594,40
2019,22-Jan-19,20,554.722,38
2019,22-Jan-19,21,545.643,36
2019,22-Jan-19,22,528.013,39
2019,22-Jan-19,23,484.185,41
2019,22-Jan-19,24,446.055,41
2019,23-Jan-19,1,423.708,38
2019,23-Jan-19,2,348.857,39
2019,23-Jan-19,3,342.77,39
2019,23-Jan-19,4,432.23,40
2019,23-Jan-19,5,458.355,42
2019,23-Jan-19,6,524.613,41
2019,23-Jan-19,7,566.139,43
2019,23-Jan-19,8,637.6,45
2019,23-Jan-19,9,681.312,46
2019,23-Jan-19,10,626.101,46
2019,23-Jan-19,11,645.919,44
2019,23-Jan-19,12,575.077,46
2019,23-Jan-19,13,440.732,48
2019,23-Jan-19,14,370.155,46
2019,23-Jan-19,15,350.248,46
2019,23-Jan-19,16,342.019,48
2019,23-Jan-19,17,334.442,46
2019,23-Jan-19,18,355.957,46
2019,23-Jan-19,19,398.989,48
2019,23-Jan-19,20,435.965,48
2019,23-Jan-19,21,490.371,48
2019,23-Jan-19,22,565.923,51
2019,23-Jan-19,23,628.298,52
2019,23-Jan-19,24,664.973,51
2019,24-Jan-19,1,770.412,48
2019,24-Jan-19,2,769.159,49
2019,24-Jan-19,3,787.881,49
2019,24-Jan-19,4,722.295,49
2019,24-Jan-19,5,671.319,50
2019,24-Jan-19,6,673.07,50
2019,24-Jan-19,7,702.848,50
2019,24-Jan-19,8,682.081,50
2019,24-Jan-19,9,720.344,52
2019,24-Jan-19,10,736.601,54
2019,24-Jan-19,11,758.13,54
2019,24-Jan-19,12,750.829,55
2019,24-Jan-19,13,697.524,54
2019,24-Jan-19,14,600.799,54
2019,24-Jan-19,15,564.321,50
2019,24-Jan-19,16,553.196,47
2019,24-Jan-19,17,571.412,52
2019,24-Jan-19,18,611.058,49
2019,24-Jan-19,19,666.45,46
2019,24-Jan-19,20,761.175,46
2019,24-Jan-19,21,809.669,48
2019,24-Jan-19,22,799.176,48
2019,24-Jan-19,23,765.361,48
2019,24-Jan-19,24,771.696,48
2019,25-Jan-19,1,749.522,48
2019,25-Jan-19,2,712.72,48
2019,25-Jan-19,3,667.623,46
2019,25-Jan-19,4,668.066,46
2019,25-Jan-19,5,634.724,47
2019,25-Jan-19,6,688.184,48
